siteId,treeId,status,dbhCm,circumferenceCm,radiusM,fitPoints,sectionPointCount,angularCoverageRatio,residualM,verticality,validatedSlices,centerSpreadM,radiusCv,qaFlags
site-002,SITE-002-CFO-030,B_LOW_CONFIDENCE,49.298,154.875,0.24649,103,243,0.79167,0.0204,0.999,4,0.22148,0.12,CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-031,A_INDICATIVE,16.681,52.406,0.08341,40,51,0.54167,0.00676,1.0,5,0.05673,0.29,
site-002,SITE-002-CFO-032,B_LOW_CONFIDENCE,14.732,46.283,0.07366,31,173,0.70833,0.00879,0.989,5,0.25284,0.338,CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-033,C_STRUCTURE_RISK,52.048,163.514,0.26024,76,233,0.875,0.02184,0.995,5,0.18122,0.134,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-034,C_STRUCTURE_RISK,56.061,176.119,0.2803,90,217,0.70833,0.02314,0.997,5,0.16347,0.451,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-035,B_LOW_CONFIDENCE,46.187,145.102,0.23094,62,150,0.75,0.01807,0.999,5,0.13424,0.379,
site-002,SITE-002-CFO-036,B_LOW_CONFIDENCE,47.502,149.231,0.23751,78,225,0.79167,0.02193,0.999,4,0.1066,0.294,
site-002,SITE-002-CFO-037,C_STRUCTURE_RISK,56.729,178.219,0.28364,74,134,0.75,0.02324,0.998,5,0.17102,0.423,LARGE_STRUCTURE_OR_PROP_ROOT_RISK
site-002,SITE-002-CFO-038,B_LOW_CONFIDENCE,47.98,150.734,0.2399,84,189,0.66667,0.01938,1.0,4,0.17958,0.42,
site-002,SITE-002-CFO-039,B_LOW_CONFIDENCE,49.381,155.135,0.2469,57,167,0.83333,0.01971,0.999,5,0.11591,0.336,
site-002,SITE-002-CFO-040,B_LOW_CONFIDENCE,49.485,155.46,0.24742,62,133,0.75,0.02082,0.997,5,0.25293,0.43,CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-041,B_LOW_CONFIDENCE,16.364,51.409,0.08182,36,175,0.58333,0.00906,0.999,4,0.20638,0.616,CENTERLINE_SPREAD_HIGH;RADIUS_VARIATION_HIGH
site-002,SITE-002-CFO-042,C_STRUCTURE_RISK,54.613,171.572,0.27307,65,152,0.75,0.02342,0.999,5,0.24094,0.381,LARGE_STRUCTURE_OR_PROP_ROOT_RISK;CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-043,C_STRUCTURE_RISK,59.927,188.266,0.29963,70,158,0.75,0.02479,0.999,5,0.13191,0.099,LARGE_STRUCTURE_OR_PROP_ROOT_RISK
site-002,SITE-002-CFO-044,B_LOW_CONFIDENCE,40.956,128.668,0.20478,45,133,0.75,0.01573,0.999,4,0.23722,0.443,CENTERLINE_SPREAD_HIGH
site-002,SITE-002-CFO-045,C_STRUCTURE_RISK,59.514,186.968,0.29757,63,139,0.79167,0.02391,0.995,4,0.09951,0.235,LARGE_STRUCTURE_OR_PROP_ROOT_RISK
